,name,lat,lon,startup distance,startup lat,startup lon,design distance,design lat,design lon,starbucks distance,starbucks lat,starbucks lon,airport distance,airport lat,airport lon,school distance,school lat,school lon,club distance,club lat,club lon,vegan distance,vegan lat,vegan lon,stadium distance,stadium lat,stadium lon,pet services distance,pet services lat,pet services lon
0,eyeOS,41.3854855,2.1702872,58,41.385957,2.170607,133,41.384199,2.180161,205,41.385779,2.167932,164,41.386942,2.169953,183,41.3862,2.172267,58,41.385205,2.170654,178,41.384408,2.168819,1021,41.382617,2.158648,778,41.386723,2.161102
1,]project-open[,41.383182,2.163697,233,41.384878,2.165442,346,41.404413,2.164952,252,41.385204,2.163273,319,41.385514,2.165915,381,41.385932,2.166428,89,41.383793,2.162859,58,41.382539,2.163428,425,41.382617,2.158648,449,41.386723,2.161102
2,Starfish Community Group,41.387917,2.169919,118,41.389033,2.169356,180,41.38777,2.172331,168,41.387974,2.167991,60,41.387456,2.170364,143,41.387748,2.168328,150,41.387374,2.171603,163,41.387534,2.167993,1060,41.38381,2.158438,746,41.386723,2.161102
3,Trovit,41.388769,2.1299487,47,41.388623,2.130295,176,41.389258,2.128659,56,41.388763,2.130817,114,41.388854,2.13139,288,41.389027,2.126509,225,41.387016,2.128576,107,41.388255,2.131036,962,41.396978,2.126265,265,41.386995,2.130976
4,BMAT,41.406335,2.192023,22,41.4064,2.192177,1094,41.398486,2.199841,146,41.405011,2.192603,492,41.409536,2.18759,36,41.406448,2.192126,437,41.41052,2.190953,503,41.402411,2.195277,495,41.402592,2.18879,1223,41.402951,2.205989
5,Futurlink,41.396553,2.189241,136,41.395548,2.189835,176,41.395125,2.189998,967,41.405011,2.192603,613,41.394603,2.1825,609,41.397646,2.196325,171,41.395151,2.189107,285,41.398975,2.188485,352,41.396066,2.185065,1566,41.402951,2.205989
6,Wuapi,41.387917,2.169919,118,41.389033,2.169356,180,41.38777,2.172331,168,41.387974,2.167991,60,41.387456,2.170364,143,41.387748,2.168328,150,41.387374,2.171603,163,41.387534,2.167993,1109,41.382617,2.158648,746,41.386723,2.161102
7,vLex,41.392852,2.168021,138,41.392142,2.166714,213,41.391762,2.170352,199,41.392904,2.165519,198,41.391981,2.164298,86,41.392569,2.16904,84,41.393479,2.16807,128,41.393793,2.168982,983,41.399134,2.17633,892,41.386723,2.161102
8,Jobisjob,41.487094,2.07732,606,41.492628,2.078156,866,41.4809,2.071013,11313,41.439672,2.197387,4273,41.520771,2.102132,824,41.494559,2.077627,290,41.489411,2.078928,1476,41.474541,2.082325,1360,41.480292,2.090914,1267,41.482589,2.091308
9,GeoMe,41.387411,2.168518,123,41.388297,2.167552,299,41.38777,2.172331,79,41.387974,2.167991,130,41.386942,2.169953,27,41.387748,2.168328,89,41.387883,2.168472,40,41.387534,2.167993,980,41.382617,2.158648,623,41.386723,2.161102
