,name,lat,lon,startup distance,startup lat,startup lon,design distance,design lat,design lon,starbucks distance,starbucks lat,starbucks lon,airport distance,airport lat,airport lon,school distance,school lat,school lon,club distance,club lat,club lon,vegan distance,vegan lat,vegan lon,stadium distance,stadium lat,stadium lon,pet services distance,pet services lat,pet services lon
0,Fon,40.530724,-3.632687,998,40.533335,-3.62137,2693,40.544942,-3.65886,490,40.530337,-3.638354,2003,40.539476,-3.611639,108,40.530287,-3.631782,419,40.531675,-3.637635,1017,40.531928,-3.644428,631,40.536243,-3.634475,2483,40.54536,-3.610462
1,Buongiorno,40.4487974,-3.6697641,59,40.449241,-3.669711,1424,40.436174,-3.671473,1410,40.440273,-3.682125,960,40.45382,-3.678654,905,40.444915,-3.679271,164,40.449099,-3.667857,425,40.452126,-3.667651,1282,40.455884,-3.681842,750,40.443338,-3.674979
2,Swotti,40.416741,-3.70325,226,40.416979,-3.706057,228,40.417781,-3.705795,97,40.417539,-3.702775,23,40.416852,-3.702895,148,40.418016,-3.703782,178,40.416648,-3.705507,105,40.415659,-3.703015,45,40.41678,-3.70379,236,40.41807,-3.705427
3,AsesorSeguros,40.497716,-3.647842,1684,40.496009,-3.667737,3633,40.464929,-3.646621,1058,40.497604,-3.660779,2197,40.516398,-3.656361,665,40.498595,-3.655638,1070,40.497839,-3.660373,1888,40.514689,-3.652331,2625,40.474745,-3.655112,728,40.502707,-3.651495
4,eRepublik,40.43094,-3.6952896,271,40.431412,-3.692141,354,40.433341,-3.698242,385,40.427233,-3.695381,971,40.428521,-3.706323,367,40.429688,-3.691436,21,40.431105,-3.695433,88,40.430856,-3.694313,693,40.428649,-3.687663,319,40.430333,-3.700735
5,NotePub,40.416741,-3.70325,148,40.409137,-3.712269,207,40.416624,-3.70567,97,40.417539,-3.702775,23,40.416852,-3.702895,148,40.418016,-3.703782,178,40.416648,-3.705507,105,40.415659,-3.703015,45,40.41678,-3.70379,236,40.41807,-3.705427
6,FeedzZ,40.4722272,-3.6532523,1060,40.46346,-3.658222,973,40.464929,-3.646621,1742,40.462875,-3.63646,1278,40.475301,-3.635038,1246,40.471896,-3.667883,620,40.468876,-3.659124,2266,40.453545,-3.664754,320,40.474745,-3.655112,3243,40.442766,-3.65399
7,Next Limit,40.455219,-3.650703,1114,40.46346,-3.658222,1142,40.464929,-3.646621,1450,40.462875,-3.63646,1471,40.447932,-3.636189,1251,40.444658,-3.65189,446,40.455214,-3.645134,1186,40.453545,-3.664754,1019,40.45768,-3.639086,1382,40.442766,-3.65399
8,Veedia,40.456586,-3.647013,1217,40.46346,-3.658222,938,40.464929,-3.646621,1110,40.462875,-3.63646,1330,40.447932,-3.636189,1459,40.444658,-3.65189,191,40.455214,-3.645134,1520,40.453545,-3.664754,681,40.45768,-3.639086,1519,40.442836,-3.645003
9,Cyloop,40.5288449,-3.6429907,480,40.531179,-3.647581,2206,40.544942,-3.65886,418,40.530337,-3.638354,1517,40.539273,-3.654586,476,40.52369,-3.640859,276,40.529257,-3.639731,364,40.531928,-3.644428,1082,40.536243,-3.634475,2995,40.502707,-3.651495
10,Solaiemes,40.382338,-3.773844,3818,40.38819,-3.729386,2749,40.388372,-3.742336,3788,40.363859,-3.737676,938,40.374289,-3.77048,1505,40.394722,-3.765491,692,40.382287,-3.765665,2167,40.381647,-3.748331,2975,40.386148,-3.738861,2194,40.381292,-3.747945
11,Videoplaza,40.4596242,-3.6923285,124,40.459339,-3.693753,374,40.461839,-3.695876,531,40.454873,-3.694064,1020,40.451115,-3.696875,812,40.455344,-3.684751,69,40.459591,-3.693147,444,40.463494,-3.690678,552,40.458573,-3.685936,505,40.45518,-3.693169
12,AtelMedia,40.416741,-3.70325,148,40.409137,-3.712269,207,40.416624,-3.70567,97,40.417539,-3.702775,23,40.416852,-3.702895,148,40.418016,-3.703782,178,40.416648,-3.705507,105,40.415659,-3.703015,45,40.41678,-3.70379,236,40.41807,-3.705427
